Group,Country,Country_Code,Year,Population
SAARC,Afghanistan,AFG,1960,9035043
SAARC,Afghanistan,AFG,1961,9214083
SAARC,Afghanistan,AFG,1962,9404406
SAARC,Afghanistan,AFG,1963,9604487
SAARC,Afghanistan,AFG,1964,9814318
SAARC,Afghanistan,AFG,1965,10036008
SAARC,Afghanistan,AFG,1966,10266395
SAARC,Afghanistan,AFG,1967,10505959
SAARC,Afghanistan,AFG,1968,10756922
SAARC,Afghanistan,AFG,1969,11017409
SAARC,Afghanistan,AFG,1970,11290128
SAARC,Afghanistan,AFG,1971,11567667
SAARC,Afghanistan,AFG,1972,11853696
SAARC,Afghanistan,AFG,1973,12157999
SAARC,Afghanistan,AFG,1974,12469127
SAARC,Afghanistan,AFG,1975,12773954
SAARC,Afghanistan,AFG,1976,13059851
SAARC,Afghanistan,AFG,1977,13340756
SAARC,Afghanistan,AFG,1978,13611441
SAARC,Afghanistan,AFG,1979,13655567
SAARC,Afghanistan,AFG,1980,13169311
SAARC,Afghanistan,AFG,1981,11937581
SAARC,Afghanistan,AFG,1982,10991378
SAARC,Afghanistan,AFG,1983,10917982
SAARC,Afghanistan,AFG,1984,11190221
SAARC,Afghanistan,AFG,1985,11426852
SAARC,Afghanistan,AFG,1986,11420074
SAARC,Afghanistan,AFG,1987,11387818
SAARC,Afghanistan,AFG,1988,11523298
SAARC,Afghanistan,AFG,1989,11874088
SAARC,Afghanistan,AFG,1990,12045660
SAARC,Afghanistan,AFG,1991,12238879
SAARC,Afghanistan,AFG,1992,13278974
SAARC,Afghanistan,AFG,1993,14943172
SAARC,Afghanistan,AFG,1994,16250794
SAARC,Afghanistan,AFG,1995,17065836
SAARC,Afghanistan,AFG,1996,17763266
SAARC,Afghanistan,AFG,1997,18452091
SAARC,Afghanistan,AFG,1998,19159996
SAARC,Afghanistan,AFG,1999,19887785
SAARC,Afghanistan,AFG,2000,20130327
SAARC,Afghanistan,AFG,2001,20284307
SAARC,Afghanistan,AFG,2002,21378117
SAARC,Afghanistan,AFG,2003,22733049
SAARC,Afghanistan,AFG,2004,23560654
SAARC,Afghanistan,AFG,2005,24404567
SAARC,Afghanistan,AFG,2006,25424094
SAARC,Afghanistan,AFG,2007,25909852
SAARC,Afghanistan,AFG,2008,26482622
SAARC,Afghanistan,AFG,2009,27466101
SAARC,Afghanistan,AFG,2010,28284089
SAARC,Afghanistan,AFG,2011,29347708
